Number of nodes,Number of edges,Edge probability,Algorithm,Results,Number of basic operations,Execution time,Number of solutions tested
14,24,0.125,Exhaustive Search,"[[3, 4, 10], [2, 6, 12], [1, 8, 10], [0, 8, 10]]",18729,0.29831886291503906,16279
14,24,0.125,Maximal Clique - Simple Greedy,"[2, 9]",4,7.605552673339844e-05,14
14,24,0.125,Maximum Clique - Branch Bound Greedy,"[1, 8, 10]",Not used,0.00012540817260742188,103
14,34,0.25,Exhaustive Search,"[[1, 5, 8, 11]]",27796,0.3380093574523926,15917
14,34,0.25,Maximal Clique - Simple Greedy,"[1, 2, 8]",8,8.368492126464844e-05,14
14,34,0.25,Maximum Clique - Branch Bound Greedy,"[1, 5, 8, 11]",Not used,0.0001342296600341797,104
14,44,0.5,Exhaustive Search,"[[2, 4, 12, 13], [2, 3, 6, 8], [1, 2, 3, 8], [0, 11, 12, 13]]",30947,0.3244969844818115,15915
14,44,0.5,Maximal Clique - Simple Greedy,"[0, 1]",6,5.817413330078125e-05,14
14,44,0.5,Maximum Clique - Branch Bound Greedy,"[0, 11, 12, 13]",Not used,0.001024007797241211,111
14,76,0.75,Exhaustive Search,"[[5, 7, 8, 9, 10, 11, 12, 13], [4, 5, 7, 8, 9, 10, 11, 12], [0, 5, 7, 8, 9, 11, 12, 13], [0, 4, 5, 7, 8, 9, 11, 12]]",43059,0.19940781593322754,6477
14,76,0.75,Maximal Clique - Simple Greedy,"[0, 1, 2, 4, 5, 9, 11]",28,0.00011229515075683594,14
14,76,0.75,Maximum Clique - Branch Bound Greedy,"[0, 4, 5, 7, 8, 9, 11, 12]",Not used,0.0001399517059326172,112
15,23,0.125,Exhaustive Search,"[[9, 13, 14], [9, 10, 14], [9, 10, 11]]",37938,0.5981786251068115,32648
15,23,0.125,Maximal Clique - Simple Greedy,"[0, 3]",4,5.888938903808594e-05,15
15,23,0.125,Maximum Clique - Branch Bound Greedy,"[9, 10, 11]",Not used,0.00012731552124023438,113
15,35,0.25,Exhaustive Search,"[[6, 7, 13, 14], [2, 6, 7, 14]]",44499,0.6034200191497803,32198
15,35,0.25,Maximal Clique - Simple Greedy,"[1, 9]",5,6.29425048828125e-05,15
15,35,0.25,Maximum Clique - Branch Bound Greedy,"[6, 7, 13, 14]",Not used,0.0011472702026367188,120
15,64,0.5,Exhaustive Search,"[[5, 7, 9, 10, 11], [5, 6, 7, 10, 11], [4, 11, 12, 13, 14], [4, 9, 11, 12, 14], [4, 7, 9, 11, 14], [4, 5, 7, 9, 11], [2, 4, 5, 8, 9], [1, 4, 12, 13, 14], [1, 4, 9, 12, 14], [1, 4, 7, 9, 14], [0, 11, 12, 13, 14], [0, 9, 11, 12, 14], [0, 7, 9, 11, 14], [0, 1, 12, 13, 14], [0, 1, 9, 12, 14], [0, 1, 7, 9, 14]]",52709,0.617565393447876,30828
15,64,0.5,Maximal Clique - Simple Greedy,"[0, 1, 7, 9, 14]",21,7.605552673339844e-05,15
15,64,0.5,Maximum Clique - Branch Bound Greedy,"[0, 11, 12, 13, 14]",Not used,0.001641988754272461,129
15,88,0.75,Exhaustive Search,"[[2, 3, 4, 5, 6, 7, 8, 10, 11, 14], [0, 2, 3, 4, 5, 6, 7, 8, 10, 11]]",31451,0.19775128364562988,4988
